Title,Abstract,Tags,Category
Megafaunal Impacts on Structure and Function of Ocean Ecosystems,"Here, we identify the extant species of marine megafauna (>45 kg maximum reported mass), provide a conceptual template for the ways in which these species influence the structure and function of ocean ecosystems, and review the published evidence for such influences. Ecological influences of more than 90% of the 338 known species of extant ocean megafauna are unstudied and thus unknown. The most widely known effect of those few species that have been studied is direct prey limitation, which occurs through consumption and risk avoidance behavior. Consumer-prey interactions result in indirect effects that extend through marine ecosystems to other species and ecological processes. Marine megafauna transport energy, nutrients, and other materials vertically and horizontally through the oceans, often over long distances. The functional relationships between these various ecological impacts and megafauna population densities, in the few well-studied cases, are characterized by phase shifts and hysteresis.",,Biophysical-Distal
Archaeology Meets Marine Ecology: The Antiquity of Maritime Cultures and Human Impacts on Marine Fisheries and Ecosystems,"Interdisciplinary study of coastal archaeological sites provides a wealth of information on the ecology and evolution of ancient marine animal populations, the structure of past marine ecosystems, and the history of human impacts on coastal fisheries. In this paper, we review recent methodological developments in the archaeology and historical ecology of coastal regions around the world. Using two case studies, we examine (a) a deep history of anthropogenic effects on the marine ecosystems of California's Channel Islands through the past 12,000 years and (b) geographic variation in the effects of human fishing on Pacific Island peoples who spread through Oceania during the late Holocene. These case studies—the first focused on hunter-gatherers, the second on maritime horticulturalists—provide evidence for shifting baselines and timelines, documenting a much deeper anthropogenic influence on many coastal ecosystems and fisheries than considered by most ecologists, conservation biologists, and fisheries managers.",,Biophysical-Distal
On the Value of Agricultural Biodiversity,Crop biodiversity is very important for both the functioning of ecological systems and the generation of a vast array of ecosystem services. More agricultural biodiversity is associated with higher agriculture production and lower risk exposure. This article explores the recent contributions on the economics of agrobiodiversity. The focus is (mostly) on the empirical literature. Future issues are also highlighted.,,Biophysical-Distal
Arctic Archaeology and Climate Change,"An enduring debate in the field of Arctic archaeology has been the extent to which climate change impacted cultural developments in the past. Long-term culture change across the circumpolar Arctic was often highly dynamic, with episodes of rapid migration, regional abandonment, and—in some cases—the disappearance or wholesale replacement of entire cultural traditions. By the 1960s, researchers were exploring the possibility that warming episodes had positive effects on cold-adapted premodern peoples in the Arctic by ( a) reducing the extent of sea ice, ( b) expanding the size and range of marine mammal populations, and ( c) opening new waterways and hunting areas for marine-adapted human groups. Although monocausal climatic arguments for change are now regarded as overly simplistic, the growing threat of contemporary Arctic warming to Indigenous livelihoods has given wider relevance to research into long-term culture–climate interactions. With their capacity to examine deeper cultural responses to climate change, archaeologists are in a unique position to generate human-scale climate adaptation insights that may inform future planning and mitigation efforts. The exceptionally well-preserved cultural and paleo-ecological sequences of the Arctic make it one of the best-suited regions on Earth to address such problems. Ironically, while archaeologists employ an exciting and highly promising new generation of methods and approaches to examine long-term fragility and resilience in Arctic social-ecological systems, many of these frozen paleo-societal archives are fast disappearing due to anthropogenic warming.",,Biophysical-Distal
Terrestrial Vegetation in the Coupled Human-Earth System: Contributions of Remote Sensing,"The Earth system and society's use of ecological resources are tightly coupled through exchanges of water, energy, and nutrients. Terrestrial vegetation transfers materials between the atmosphere, biosphere, and water bodies in the coupled system. Vegetation is also a primary interface between human society and the Earth system through land-cover conversion, cultivation of favorable species, and transfer of organisms between locations. Remote sensing aids analyses of these interactions and, ultimately, contributes information to decision makers for improved management. Multidecadal records from multispectral sensors have been the mainstay for studying terrestrial vegetation at regional and global scales. Representation of vegetation and carbon dynamics is now routine in Earth system models. Challenges remain to incorporate realistic ecological disturbances and human land-use activities based on remote sensing observations. Hyperspectral, LIDAR, and radar systems contribute new capabilities for observing nitrogen fluxes, vegetation stress, canopy structure, and in some cases individual species.",,Biophysical-Distal
Performance Comparisons of Co-Occurring Native and Alien Invasive Plants: Implications for Conservation and Restoration,"▪ Abstract  In the search to identify factors that make some plant species troublesome invaders, many studies have compared various measures of native and alien invasive plant performance. These comparative studies provide insights into the more general question “Do alien invasive plants usually outperform co-occurring native species, and to what degree does the answer depend on growing conditions?” Based on 79 independent native-invasive plant comparisons, the alien invaders were not statistically more likely to have higher growth rates, competitive ability, or fecundity. Rather, the relative performance of invaders and co-occurring natives often depended on growing conditions. In 94% of 55 comparisons involving more than one growing condition, the native's performance was equal or superior to that of the invader, at least for some key performance measures in some growing conditions. Most commonly, these conditions involved reduced resources (nutrients, light, water) and/or specific disturbance regimes. Independently of growing conditions, invaders were more likely to have higher leaf area and lower tissue construction costs (advantageous under high light and nutrient conditions) and greater phenotypic plasticity (particularly advantageous in disturbed environments where conditions are in frequent flux). There appear to be few “super invaders” that have universal performance advantages over co-occurring natives; rather, increased resource availability and altered disturbance regimes associated with human activities often differentially increase the performance of invaders over that of natives.",,Biophysical-Distal
Biotic and Abiotic Controls on the Phanerozoic History of Marine Animal Biodiversity,"During the past 541 million years, marine animals underwent three intervals of diversification (early Cambrian, Ordovician, Cretaceous–Cenozoic) separated by nondirectional fluctuation, suggesting diversity-dependent dynamics with the equilibrium diversity shifting through time. Changes in factors such as shallow-marine habitat area and climate appear to have modulated the nondirectional fluctuations. Directional increases in diversity are best explained by evolutionary innovations in marine animals and primary producers coupled with stepwise increases in the availability of food and oxygen. Increasing intensity of biotic interactions such as predation and disturbance may have led to positive feedbacks on diversification as ecosystems became more complex. Important areas for further research include improving the geographic coverage and temporal resolution of paleontological data sets, as well as deepening our understanding of Earth system evolution and the physiological and ecological traits that modulated organismal responses to environmental change.",,Biophysical-Distal
"Hypoxia, Nitrogen, and Fisheries: Integrating Effects Across Local and Global Landscapes","Anthropogenic nutrient enrichment and physical characteristics result in low dissolved oxygen concentrations (hypoxia) in estuaries and semienclosed seas throughout the world. Published research indicates that within and near oxygen-depleted waters, finfish and mobile macroinvertebrates experience negative effects that range from mortality to altered trophic interactions. Chronic exposure to hypoxia and fluctuating oxygen concentrations impair reproduction, immune responses, and growth. We present an analysis of hypoxia, nitrogen loadings, and fisheries landings in 30 estuaries and semienclosed seas worldwide. Our results suggest that hypoxia does not typically reduce systemwide fisheries landings below what would be predicted from nitrogen loadings, except where raw sewage is released or particularly sensitive species lose critical habitat. A number of compensatory mechanisms limit the translation of local-scale effects of hypoxia to the scale of the whole system. Hypoxia is, however, a serious environmental challenge that should be considered in fisheries management strategies and be a direct target of environmental restoration.",,Biophysical-Distal
The Nature and Value of Ecosystem Services: An Overview Highlighting Hydrologic Services,"Ecosystem services, the benefits that people obtain from ecosystems, are a powerful lens through which to understand human relationships with the environment and to design environmental policy. The explicit inclusion of beneficiaries makes values intrinsic to ecosystem services; whether or not those values are monetized, the ecosystem services framework provides a way to assess trade-offs among alternative scenarios of resource use and land- and seascape change. We provide an overview of the ecosystem functions responsible for producing terrestrial hydrologic services and use this context to lay out a blueprint for a more general ecosystem service assessment. Other ecosystem services are addressed in our discussion of scale and trade-offs. We review valuation and policy tools useful for ecosystem service protection and provide several examples of land management using these tools. Throughout, we highlight avenues for research to advance the ecosystem services framework as an operational basis for policy decisions.",,Biophysical-Distal
The Impacts of Fisheries on Marine Ecosystems and the Transition to Ecosystem-Based Management,"Fishing remains one of the largest factors modifying marine ecosystems. Because fisheries constitute only one of many anthropogenic effects, management is shifting from single-species approaches toward ecosystem-based management. Interaction webs are a critical nexus to understand linkages, to model ecosystem change, and to apply management directives. Ecosystem-based management requires consideration of both direct and indirect effects of commercial fisheries. But it must also include impacts of bycatch, recreational fisheries, artisanal fisheries, and environmental change that can be large but unanticipated. Synergistic effects of fishing, environmental variation, and climate change increasingly threaten marine ecosystems and complicate management. Here we review the global effects of fisheries and propose an integrated framework for managing biophysical processes and human ecology. To incorporate the multitude of effects, this emerging approach focuses on the dynamics of interaction webs in a spatially explicit or place-based framework.",,Biophysical-Distal
Ecological Impacts of Deer Overabundance,"▪ Abstract  Deer have expanded their range and increased dramatically in abundance worldwide in recent decades. They inflict major economic losses in forestry, agriculture, and transportation and contribute to the transmission of several animal and human diseases. Their impact on natural ecosystems is also dramatic but less quantified. By foraging selectively, deer affect the growth and survival of many herb, shrub, and tree species, modifying patterns of relative abundance and vegetation dynamics. Cascading effects on other species extend to insects, birds, and other mammals. In forests, sustained overbrowsing reduces plant cover and diversity, alters nutrient and carbon cycling, and redirects succession to shift future overstory composition. Many of these simplified alternative states appear to be stable and difficult to reverse. Given the influence of deer on other organisms and natural processes, ecologists should actively participate in efforts to understand, monitor, and reduce the impact of deer on ecosystems.",,Biophysical-Distal
Community Forestry in Theory and Practice: Where Are We Now?,"Community forestry refers to forest management that has ecological sustainability and local community benefits as central goals, with some degree of responsibility and authority for forest management formally vested in the community. This review provides an overview of where the field of community forestry is today. We describe four case examples from the Americas: Canada, the United States, Mexico, and Bolivia. We also identify five hypotheses embedded in the concept of community forestry and examine the evidence supporting them. We conclude that community forestry holds promise as a viable approach to forest conservation and community development. Major gaps remain, however, between community forestry in theory and in practice. For example, devolution of forest management authority from states to communities has been partial and disappointing, and local control over forest management appears to have more ecological than socioeconomic benefits. We suggest ways that anthropologists can contribute to the field.",,Biophysical-Distal
Resilience to Climate Change in Coastal Marine Ecosystems,"Ecological resilience to climate change is a combination of resistance to increasingly frequent and severe disturbances, capacity for recovery and self-organization, and ability to adapt to new conditions. Here, we focus on three broad categories of ecological properties that underlie resilience: diversity, connectivity, and adaptive capacity. Diversity increases the variety of responses to disturbance and the likelihood that species can compensate for one another. Connectivity among species, populations, and ecosystems enhances capacity for recovery by providing sources of propagules, nutrients, and biological legacies. Adaptive capacity includes a combination of phenotypic plasticity, species range shifts, and microevolution. We discuss empirical evidence for how these ecological and evolutionary mechanisms contribute to the resilience of coastal marine ecosystems following climate change–related disturbances, and how resource managers can apply this information to sustain these systems and the ecosystem services they provide.",,Biophysical-Distal
The Resilience of Plant–Pollinator Networks,"There is growing awareness of pollinator declines worldwide. Conservation efforts have mainly focused on finding the direct causes, while paying less attention to building a systemic understanding of the fragility of these communities of pollinators. To fill this gap, we need operational measures of network resilience that integrate two different approaches in theoretical ecology. First, we should consider the range of conditions compatible with the stable coexistence of all of the species in a community. Second, we should address the rate and shape of network collapse once this safe operational space is exited. In this review, we describe this integrative approach and consider several mechanisms that may enhance the resilience of pollinator communities, chiefly rewiring the network of interactions, increasing heterogeneity, allowing variance, and enhancing coevolution. The most pressing need is to develop ways to reduce the gap between these theoretical recommendations and practical applications. This perspective shifts the emphasis from traditional approaches focusing on the equilibrium states to strategies that allow pollination networks to cope with global environmental change.",,Biophysical-Distal
Coral Reefs Under Climate Change and Ocean Acidification: Challenges and Opportunities for Management and Policy,"Carbon emissions in an industrialized world have created two problems for coral reefs: climate change and ocean acidification. Climate change drives ocean warming, which impacts biological and ecological reef processes, triggers large-scale coral bleaching events, and fuels tropical storms. Ocean acidification slows reef growth, alters competitive interactions, and impairs population replenishment. For managers and policymakers, ocean warming and acidification represent an almost paradoxical challenge by eroding reef resilience and simultaneously increasing the demand for reef resilience. Here, I address this problem in the context of challenges and potential solutions. Management efforts can compensate for reduced coral reef resilience in the face of global change, but to a limited extent and over a limited time frame. Critically, a realistic perspective on what sustainability measures can be achieved for coral reefs in the face of ocean warming and acidification is important to avoid setting unachievable goals for regional and local-scale management programs.",,Biophysical-Distal
Degradation and Recovery in Changing Forest Landscapes: A Multiscale Conceptual Framework,"Conceptual confusion revolves around how to define, assess, and overcome land, ecosystem, and landscape degradation. Common elements link degradation and recovery processes, offering ways to advance local, regional, and global initiatives to reduce degradation and promote the recovery of ecosystems and landscapes in forest biomes. Biophysical attributes of degradation and recovery can be measured, but the relevance of selected attributes across scales is subject to values that determine preferred states. Degradation defined in the context of a resilience-based approach is a state where the capacity for regeneration is greatly reduced or lost, recovery is arrested, core interactions and feedbacks are broken, and human intervention is required to initiate a trajectory of recovery. Another approach combines degradation and recovery processes through the concept of recovery debt, the cumulative lost benefits incurred, relative to a target state during phases of degradation and recovery. Degradation and recovery can also be described in terms of societal willingness to invest in improved management or restoration. Interventions can facilitate recovery to new stable or persistent states that provide multiple social and ecological benefits at land, ecosystem, and landscape scales. Multiple trajectories of recovery, as well as historic and ongoing chronic environmental change, might, however, mean that recovery to an original reference state is not possible.",,Biophysical-Distal
Atlantic Multidecadal Oscillation Drives Interdecadal Pacific Variability via Tropical Atmospheric Bridge,"The interdecadal Pacific oscillation (IPO) and Atlantic multidecadal oscillation (AMO), two leading modes of decadal climate variability, are not independent. It was proposed that ENSO-like sea surface temperature (SST) variations play a central role in the Pacific responses to the AMO forcing. However, observational analyses indicate that the AMO-related SST anomalies in the tropical Pacific are far weaker than those in the extratropical North Pacific. Here, we show that SST in the North Pacific is tied to the AMO forcing by convective heating associated with precipitation over the tropical Pacific, instead of by SST there, based on an ensemble of pacemaker experiments with North Atlantic SST restored to the observation in a coupled general circulation model. The AMO modulates precipitation over the equatorial and tropical southwestern Pacific through exciting an anomalous zonal circulation and an interhemispheric asymmetry of net moist static energy input into the atmosphere. The convective heating associated with the precipitation anomalies drives SST variations in the North Pacific through a teleconnection, but it remarkably weakens the ENSO-like SST anomalies through a thermocline damping effect. This study has implications that the IPO is a combined mode generated by both AMO forcing and local air-sea interactions, but the IPO-related global warming acceleration/slowdown is independent of the AMO.",,Biophysical-Distal
Warming enabled upslope advance in western US forest fires,"Increases in burned area and large fire occurrence are widely documented over the western United States over the past half century. Here, we focus on the elevational distribution of forest fires in mountainous ecoregions of the western United States and show the largest increase rates in burned area above 2,500 m during 1984 to 2017. Furthermore, we show that high-elevation fires advanced upslope with a median cumulative change of 252 m (-107 to 656 m; 95% CI) in 34 y across studied ecoregions. We also document a strong interannual relationship between high-elevation fires and warm season vapor pressure deficit (VPD). The upslope advance of fires is consistent with observed warming reflected by a median upslope drift of VPD isolines of 295 m (59 to 704 m; 95% CI) during 1984 to 2017. These findings allow us to estimate that recent climate trends reduced the high-elevation flammability barrier and enabled fires in an additional 11% of western forests. Limited influences of fire management practices and longer fire-return intervals in these montane mesic systems suggest these changes are largely a byproduct of climate warming. Further weakening in the high-elevation flammability barrier with continued warming has the potential to transform montane fire regimes with numerous implications for ecosystems and watersheds.",,Biophysical-Distal
Increasing fire and the decline of fire adapted black spruce in the boreal forest,"Intensifying wildfire activity and climate change can drive rapid forest compositional shifts. In boreal North America, black spruce shapes forest flammability and depends on fire for regeneration. This relationship has helped black spruce maintain its dominance through much of the Holocene. However, with climate change and more frequent and severe fires, shifts away from black spruce dominance to broadleaf or pine species are emerging, with implications for ecosystem functions including carbon sequestration, water and energy fluxes, and wildlife habitat. Here, we predict that such reductions in black spruce after fire may already be widespread given current trends in climate and fire. To test this, we synthesize data from 1,538 field sites across boreal North America to evaluate compositional changes in tree species following 58 recent fires (1989 to 2014). While black spruce was resilient following most fires (62%), loss of resilience was common, and spruce regeneration failed completely in 18% of 1,140 black spruce sites. In contrast, postfire regeneration never failed in forests dominated by jack pine, which also possesses an aerial seed bank, or broad-leaved trees. More complete combustion of the soil organic layer, which often occurs in better-drained landscape positions and in dryer duff, promoted compositional changes throughout boreal North America. Forests in western North America, however, were more vulnerable to change due to greater long-term climate moisture deficits. While we find considerable remaining resilience in black spruce forests, predicted increases in climate moisture deficits and fire activity will erode this resilience, pushing the system toward a tipping point that has not been crossed in several thousand years.",,Biophysical-Distal
"Intercomparison of the expected change in the temperature and the precipitation retrieved from CMIP6 and CMIP5 climate projections: A Mediterranean hot spot case, Turkey","The performances of a large number of Global Circulation Models (GCMs) belonging to the latest release the Coupled Model Intercomparison Project phase 6 (CMIP6) in comparison with its predecessor CMIP5 are evaluated for monthly precipitation and temperature over Turkey (i.e. climate change hotspot). The ensemble of best top four models from both CMIP simulations is also used to investigate the future climate change under medium and high emissions for short, medium, and long terms. Results show CMIP6 products outperform CMIP5 in terms of accuracy statistics, particularly for precipitation. Overall, CMIP6 indicate less intermodel variability, implying the climate signal obtained via CMIP6 is improved relative to CMIP5. The CMIP6 reduce the error in precipitation and temperature 11% and 6%, respectively while increasing the correlation 13% for precipitation. Correlation is not changed for temperature. The substantial success of CMIP6 mainly manifests itself in the winter precipitation and autumn temperature. A slightly warmer (up to 0.35 ?C) climate from the CMIP6 is projected while precipitation change in mean precipitation decline is about 2.5% smaller for CMIP6. However, precipitation changes in maximum decline and increase are more noticeable for CMIP6, addressing the better resolving for future climate variability. The summer warming (up to 6.5 ?C) and drying (up to -40%) towards autumn spread across the country. The increased precipitation projection in the winter and spring over the east of the Black Sea Region and north-east of Anatolia may further increase the flood risks in the area.",,Biophysical-Distal
"Developing a set of indicators to identify, monitor, and track impacts and change in forests of the United States","United States forestland is an important ecosystem type, land cover, land use, and economic resource that is facing several drivers of change including climatic. Because of its significance, forestland was identified through the National Climate Assessment (NCA) as a key sector and system of concern to be included in a system of climate indicators as part of a sustained assessment effort. Here, we describe 11 informative core indicators of forests and climate change impacts with metrics available or nearly available for use in the NCA efforts. The recommended indicators are based on a comprehensive conceptual model which recognizes forests as a land use, an ecosystem, and an economic sector. The indicators cover major forest attributes such as extent, structural components such as biomass, functions such as growth and productivity, and ecosystem services such as biodiversity and outdoor recreation. Interactions between humans and forests are represented through indicators focused on the wildland-urban interface, cost to mitigate wildfire risk, and energy produced from forest-based biomass. Selected indicators also include drought and disturbance from both wildfires and biotic agents. The forest indicators presented are an initial set that will need further refinement in coordination with other NCA indicator teams. Our effort ideally will initiate the collection of critical measurements and observations and lead to additional research on forest-climate indicators.",,Biophysical-Distal
Future Changes to El Nino Teleconnections over the North Pacific and North America,"El Nino-Southern Oscillation (ENSO) is the leading mode of interannual climate variability, and it exerts a strong influence on many remote regions of the world, for example in northern North America. Here, we examine future changes to the positive-phase ENSO teleconnection to the North Pacific/North America sector and investigate the mechanisms involved. We find that the positive temperature anomalies over Alaska and northern North America that are associated with an El Nino event in the present day are much weaker, or of the opposite sign, in the CMIP6 abrupt 4xCO(2) experiments for almost all models (22 out of 26, of which 15 have statistically significant differences). This is largely related to changes to the anomalous circulation over the North Pacific, rather than differences in the equator-to-pole temperature gradient. Using a barotropic model, run with different background circulation basic states and Rossby wave source forcing patterns from the individual CMIP6 models, we find that changes to the forcing from the equatorial central Pacific precipitation anomalies are more important than changes in the global basic state background circulation. By further decomposing this forcing change into changes associated with the longitude and magnitude of ENSO precipitation anomalies, we demonstrate that the projected overall eastward shift of ENSO precipitation is the main driver of the temperature teleconnection change, rather than the increase in magnitude of El Nino precipitation anomalies, which is nevertheless seen in the majority of models.",,Biophysical-Distal
The effect of climate change on indicators of fire danger in the UK,"The UK is vulnerable to wildfire, and vulnerability is likely to increase due to climate change. Whilst the risk is small compared with many other countries, recent fires have raised awareness and highlighted the potential for environmental damage and loss of property and key infrastructure. Most UK wildfires are a result of inadvertent or deliberate human action, but the environmental conditions depend on antecedent and current weather. This paper presents projections of the effects of climate change on UK wildfire danger, using a version of an operational fire danger model, UKCP18 climate projections representing low and high emissions, and several indicators of fire danger. Fire danger will increase across the whole of the UK, but the extent and variability in change varies with indicator. The absolute danger now and into the future is greatest in the south and east (the average number of danger days increases 3-4 times by the 2080s), but danger increases further north from a lower base. The variation in change across the UK for indicators based on absolute thresholds is determined by how often those thresholds are exceeded now, whilst the (lesser) variability in percentile-based indicators reflects variability in the projected change in climate. Half of the increase in danger is due to increased temperature, and most of the rest is due to projected reductions in relative humidity. Uncertainty in the magnitude of the change is due to uncertainty in changes in temperature, relative humidity, and rainfall, and there is a large difference between two of the UKCP18 climate model ensembles. Reducing emissions to levels consistent with achieving international climate policy targets significantly reduces, but does not eliminate, the increase in fire danger. The results imply that greater attention needs to be given to wildfire danger in both emergency and spatial planning, and in the development of guidelines for activities that may trigger fires. They suggest the need for the development of a fire danger system more tailored to UK conditions, and the combination of fire danger modelling with projections of sources of ignition to better estimate the change in wildfire risk.",,Biophysical-Distal
